version	package	cbo	aff	eff	lcom	mf	cs
1.5.2	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.5.2	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.5.2	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.5.2	org.apache.tools.zip	0	4	0	0.7777777777777778	0.8648648648648649	-4
1.5.3	org.apache.tools.ant.listener	3	0	6	1.0	0.0	-1
1.5.3	org.apache.tools.ant	6	216	20	0.925531914893617	0.33070866141732286	-856
1.5.3	org.apache.tools.ant.types	5	125	43	0.9452347083926032	0.29672447013487474	-567
1.5.3	org.apache.tools.ant.types.selectors	4	4	14	0.8815384615384615	0.6015625	-191
1.5.3	org.apache.tools.ant.input	1	4	1	0.65	0.56	4
1.5.3	org.apache.tools.ant.util	5	64	11	0.9666666666666667	0.19047619047619047	-186
1.5.3	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.5.3	org.apache.tools.ant.util.regexp	1	3	2	0.75	0.43478260869565216	0
1.5.3	org.apache.tools.ant.taskdefs.compilers	4	1	15	0.8363636363636363	0.34285714285714286	-19
1.5.3	org.apache.tools.ant.taskdefs	15	21	95	0.9901233572522776	0.39708265802269044	-12039
1.5.3	org.apache.tools.ant.taskdefs.condition	3	16	7	0.8516483516483516	0.5625	-43
1.5.3	org.apache.tools.ant.taskdefs.cvslib	4	0	15	0.8555555555555555	0.5652173913043478	-19
1.5.3	org.apache.tools.ant.taskdefs.email	4	1	10	0.6333333333333333	0.5641025641025641	5
1.5.3	org.apache.tools.ant.taskdefs.rmic	4	1	13	0.7619047619047619	0.32786885245901637	-3
1.5.3	org.apache.tools.ant.filters	5	3	9	0.8830409356725146	0.6956521739130435	-97
1.5.3	org.apache.tools.ant.filters.util	4	4	12	1.0	0.0	-1
1.5.3	org.apache.tools.ant.helper	2	1	13	0.5	0.5833333333333334	12
1.5.3	org.apache.tools.zip	0	4	0	0.7777777777777778	0.8648648648648649	-4
1.5.3	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.5.3	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.5.3	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.5.4	org.apache.tools.ant	6	216	20	0.925531914893617	0.33070866141732286	-856
1.5.4	org.apache.tools.ant.types	5	125	43	0.9452347083926032	0.29672447013487474	-567
1.5.4	org.apache.tools.ant.types.selectors	4	4	14	0.8815384615384615	0.6015625	-191
1.5.4	org.apache.tools.ant.input	1	4	1	0.65	0.56	4
1.5.4	org.apache.tools.ant.util	5	64	11	0.9666666666666667	0.19047619047619047	-186
1.5.4	org.apache.tools.ant.util.regexp	1	3	2	0.75	0.43478260869565216	0
1.5.4	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.5.4	org.apache.tools.ant.filters	5	3	9	0.8830409356725146	0.6956521739130435	-97
1.5.4	org.apache.tools.ant.filters.util	4	4	12	1.0	0.0	-1
1.5.4	org.apache.tools.ant.helper	2	1	13	0.5	0.5833333333333334	12
1.5.4	org.apache.tools.ant.listener	3	0	6	1.0	0.0	-1
1.5.4	org.apache.tools.ant.taskdefs	15	21	95	0.9901233572522776	0.39708265802269044	-12039
1.5.4	org.apache.tools.ant.taskdefs.condition	3	16	7	0.8516483516483516	0.5625	-43
1.5.4	org.apache.tools.ant.taskdefs.compilers	4	1	15	0.8363636363636363	0.34285714285714286	-19
1.5.4	org.apache.tools.ant.taskdefs.cvslib	4	0	15	0.8555555555555555	0.5652173913043478	-19
1.5.4	org.apache.tools.ant.taskdefs.email	4	1	10	0.6333333333333333	0.5641025641025641	5
1.5.4	org.apache.tools.ant.taskdefs.rmic	4	1	13	0.7619047619047619	0.32786885245901637	-3
1.5.4	org.apache.tools.zip	0	4	0	0.7777777777777778	0.8648648648648649	-4
1.5.4	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.5.4	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.5.4	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.6.0	org.apache.tools.ant	8	275	31	0.931390977443609	0.3335872048743336	-1236
1.6.0	org.apache.tools.ant.filters	5	2	13	0.9242424242424242	0.6910569105691057	-421
1.6.0	org.apache.tools.ant.filters.util	4	5	12	1.0	0.0	-1
1.6.0	org.apache.tools.ant.helper	2	3	14	0.8125	0.5828571428571429	-64
1.6.0	org.apache.tools.ant.input	2	4	2	0.65	0.5384615384615384	4
1.6.0	org.apache.tools.ant.listener	4	0	10	1.0	0.0	-1
1.6.0	org.apache.tools.ant.loader	3	1	5	NaN	0.0	0
1.6.0	org.apache.tools.ant.taskdefs	16	25	112	0.9912923670432626	0.41578947368421054	-17681
1.6.0	org.apache.tools.ant.taskdefs.compilers	4	1	15	0.8363636363636363	0.34285714285714286	-19
1.6.0	org.apache.tools.ant.taskdefs.condition	4	16	8	0.8571428571428571	0.5660377358490566	-51
1.6.0	org.apache.tools.ant.taskdefs.cvslib	4	0	15	0.8555555555555555	0.5652173913043478	-19
1.6.0	org.apache.tools.ant.taskdefs.email	4	2	10	0.6904761904761905	0.5531914893617021	3
1.6.0	org.apache.tools.ant.taskdefs.rmic	4	1	13	0.7619047619047619	0.32786885245901637	-3
1.6.0	org.apache.tools.ant.types	8	150	67	0.9542815674891146	0.3564356435643564	-1168
1.6.0	org.apache.tools.ant.types.resolver	2	0	3	-0.0	0.5714285714285714	1
